Species,Date,Buoyant,Blotted,Lyophilised
Laminaria digitata,22.09.21,7.693,6.852,NA
Laminaria digitata,22.09.21,3.602,2.942,NA
Laminaria digitata,22.09.21,6.318,5.29,NA
Laminaria digitata,22.09.21,4.804,3.875,NA
Laminaria digitata,22.09.21,1.756,1.502,NA
Laminaria digitata,22.09.21,7.847,6.662,NA
Laminaria digitata,22.09.21,1.695,1.326,NA
Laminaria digitata,22.09.21,1.568,1.221,NA
Laminaria digitata,22.09.21,1.505,1.204,NA
Laminaria digitata,22.09.21,1.523,1.062,NA
Laminaria digitata,22.09.21,1.325,1.062,NA
Laminaria digitata,22.09.21,1.047,0.799,NA
Laminaria digitata,22.09.21,1.03,0.652,NA
Laminaria digitata,22.09.21,0.678,0.512,NA
Laminaria digitata,22.09.21,0.83,0.485,NA
Laminaria digitata,22.09.21,0.815,0.543,NA
Laminaria digitata,22.09.21,0.532,0.322,NA
Laminaria digitata,22.09.21,0.18,0.071,NA
Laminaria digitata,22.09.21,0.259,0.103,NA
Laminaria digitata,22.09.21,0.109,0.026,NA
Laminaria hyperborea,22.09.21,10.173,9.114,NA
Laminaria hyperborea,22.09.21,9.105,7.935,NA
Laminaria hyperborea,22.09.21,7.829,6.776,NA
Laminaria hyperborea,22.09.21,6.014,5.102,NA
Laminaria hyperborea,22.09.21,4.939,4.121,NA
Laminaria hyperborea,22.09.21,3.254,2.747,NA
Laminaria hyperborea,22.09.21,3.071,2.545,NA
Laminaria hyperborea,22.09.21,1.947,1.547,NA
Laminaria hyperborea,22.09.21,4.538,3.776,NA
Laminaria hyperborea,22.09.21,5.145,4.34,NA
Laminaria hyperborea,22.09.21,3.123,2.545,NA
Laminaria hyperborea,22.09.21,2.03,1.607,NA
Laminaria hyperborea,22.09.21,1.685,1.23,NA
Laminaria hyperborea,22.09.21,1.029,0.741,NA
Laminaria hyperborea,22.09.21,2.038,1.646,NA
Laminaria hyperborea,22.09.21,0.856,0.605,NA
Laminaria hyperborea,22.09.21,0.407,0.277,NA
Laminaria hyperborea,22.09.21,0.192,0.117,NA
Laminaria hyperborea,22.09.21,0.132,0.064,NA
Laminaria hyperborea,22.09.21,0.068,0.037,NA
Saccharina latissima,22.09.21,11.032,9.969,NA
Saccharina latissima,22.09.21,10.144,9.368,NA
Saccharina latissima,22.09.21,7.373,6.842,NA
Saccharina latissima,22.09.21,0.727,0.528,NA
Saccharina latissima,22.09.21,1.925,1.732,NA
Saccharina latissima,22.09.21,2.166,1.897,NA
Saccharina latissima,22.09.21,0.831,0.583,NA
