ID,Species,Mesh,Deployment,Retrieval,Age,Initial,Final
dS1,Laminaria digitata,2,07.10.21,27.10.21,20,24.831,23.834
dS2,Laminaria digitata,2,07.10.21,27.10.21,20,31.838,29.895
dS3,Laminaria digitata,2,07.10.21,27.10.21,20,22.115,21.39
hS1,Laminaria hyperborea,2,07.10.21,27.10.21,20,17.094,15.642
hS2,Laminaria hyperborea,2,07.10.21,27.10.21,20,20.145,18.732
hS3,Laminaria hyperborea,2,07.10.21,27.10.21,20,38.048,33.825
lS1,Saccharina latissima,2,07.10.21,27.10.21,20,9.236,8.965
lS2,Saccharina latissima,2,07.10.21,27.10.21,20,16.009,17.009
lS3,Saccharina latissima,2,07.10.21,27.10.21,20,13.183,12.34
pS1,Saccorhiza polyschides,2,07.10.21,27.10.21,20,20.31,18.115
pS2,Saccorhiza polyschides,2,07.10.21,27.10.21,20,47.744,43.582
pS3,Saccorhiza polyschides,2,07.10.21,27.10.21,20,18.541,18.328
dS4,Laminaria digitata,2,07.10.21,08.11.21,32,21.535,21.418
dS5,Laminaria digitata,2,07.10.21,08.11.21,32,22.263,21.087
dS6,Laminaria digitata,2,07.10.21,08.11.21,32,32.882,34.079
hS4,Laminaria hyperborea,2,07.10.21,08.11.21,32,14.054,12.426
hS5,Laminaria hyperborea,2,07.10.21,08.11.21,32,22.221,20.777
hS6,Laminaria hyperborea,2,07.10.21,08.11.21,32,23.516,20.458
lS4,Saccharina latissima,2,07.10.21,08.11.21,32,12.581,11.885
lS5,Saccharina latissima,2,07.10.21,08.11.21,32,33.836,20.525
lS6,Saccharina latissima,2,07.10.21,08.11.21,32,30.628,16.146
pS4,Saccorhiza polyschides,2,07.10.21,08.11.21,32,22.737,4.19
pS5,Saccorhiza polyschides,2,07.10.21,08.11.21,32,24.221,0
pS6,Saccorhiza polyschides,2,07.10.21,08.11.21,32,26.964,7.12
dL1,Laminaria digitata,15,07.10.21,08.11.21,32,18.035,17.695
dL2,Laminaria digitata,15,07.10.21,08.11.21,32,25.666,24.376
hL1,Laminaria hyperborea,15,07.10.21,08.11.21,32,17.058,8.725
hL3,Laminaria hyperborea,15,07.10.21,08.11.21,32,20.076,16.32
lL1,Saccharina latissima,15,07.10.21,08.11.21,32,22.87,5.326
pL1,Saccorhiza polyschides,15,07.10.21,08.11.21,32,21.012,4.086
pL3,Saccorhiza polyschides,15,07.10.21,08.11.21,32,29.978,10.593
hS7,Laminaria hyperborea,2,07.10.21,15.11.21,39,18.569,18.313
hS8,Laminaria hyperborea,2,07.10.21,22.11.21,46,29.082,29.963
lS7,Saccharina latissima,2,07.10.21,15.11.21,39,21.385,0.142
pS7,Saccorhiza polyschides,2,07.10.21,22.11.21,46,24.142,0
dS11,Laminaria digitata,2,07.10.21,22.11.21,46,20.636,20.44
lS10,Saccharina latissima,2,07.10.21,15.11.21,39,19.27,17.073
lS11,Saccharina latissima,2,07.10.21,15.11.21,39,21.721,21.041
dL4,Laminaria digitata,15,07.10.21,08.11.21,32,33.315,30.476
dL5,Laminaria digitata,15,07.10.21,08.11.21,32,33.776,33.232
dL6,Laminaria digitata,15,07.10.21,08.11.21,32,28.206,27.032
hL4,Laminaria hyperborea,15,07.10.21,08.11.21,32,25.562,20.478
hL6,Laminaria hyperborea,15,07.10.21,08.11.21,32,17.111,12.468
lL4,Saccharina latissima,15,07.10.21,08.11.21,32,25.982,17.917
pL5,Saccorhiza polyschides,15,07.10.21,08.11.21,32,25.299,0
pL6,Saccorhiza polyschides,15,07.10.21,08.11.21,32,26.869,7.753
dS13,Laminaria digitata,2,07.10.21,15.11.21,39,17.138,16.009
dS14,Laminaria digitata,2,07.10.21,15.11.21,39,27.543,25.907
dS15,Laminaria digitata,2,07.10.21,15.11.21,39,24.502,23.356
hS13,Laminaria hyperborea,2,07.10.21,15.11.21,39,24.585,23.987
hS14,Laminaria hyperborea,2,07.10.21,15.11.21,39,32.242,31.254
lS14,Saccharina latissima,2,07.10.21,15.11.21,39,20.965,4.387
pS14,Saccorhiza polyschides,2,07.10.21,22.11.21,46,24.613,0
dS16,Laminaria digitata,2,07.10.21,22.11.21,46,22.156,21.798
hS18,Laminaria hyperborea,2,07.10.21,22.11.21,46,36.971,34.97
pS16,Saccorhiza polyschides,2,07.10.21,15.11.21,39,13.192,13.319
pS17,Saccorhiza polyschides,2,07.10.21,15.11.21,39,12.03,11.421
dL7,Laminaria digitata,15,07.10.21,08.11.21,32,26.51,24.279
dL8,Laminaria digitata,15,07.10.21,08.11.21,32,19.802,19.048
dL9,Laminaria digitata,15,07.10.21,08.11.21,32,23.489,21.894
hL7,Laminaria hyperborea,15,07.10.21,08.11.21,32,27.37,21.194
hL8,Laminaria hyperborea,15,07.10.21,08.11.21,32,26.522,17.466
hL9,Laminaria hyperborea,15,07.10.21,08.11.21,32,25.199,21.709
lL7,Saccharina latissima,15,07.10.21,08.11.21,32,14.081,11.85
lL8,Saccharina latissima,15,07.10.21,08.11.21,32,15.737,13.901
dS19,Laminaria digitata,2,07.10.21,22.11.21,46,18.236,17.489
hS20,Laminaria hyperborea,2,07.10.21,22.11.21,46,29.764,17.822
hS21,Laminaria hyperborea,2,07.10.21,22.11.21,46,24.633,20.441
lS21,Saccharina latissima,2,07.10.21,15.11.21,39,20.125,18.774
pS20,Saccorhiza polyschides,2,07.10.21,15.11.21,39,30.915,1.307
pS21,Saccorhiza polyschides,2,07.10.21,22.11.21,46,16.428,0
dS23,Laminaria digitata,2,07.10.21,22.11.21,46,21.179,21.035
dS24,Laminaria digitata,2,07.10.21,22.11.21,46,26.408,24.621
hS23,Laminaria hyperborea,2,07.10.21,22.11.21,46,19.577,18.606
hS24,Laminaria hyperborea,2,07.10.21,15.11.21,39,22.773,21.495
dS26,Laminaria digitata,2,07.10.21,22.11.21,46,29.604,28.631
hS25,Laminaria hyperborea,2,07.10.21,15.11.21,39,23.157,16.751
hS27,Laminaria hyperborea,2,07.10.21,15.11.21,39,29.191,26.943
