ID,Species,Deployment,Retrieval,Age,Initial,Final
d1,Laminaria digitata,01.12.21,13.12.21,12,29.954,28.908
d2,Laminaria digitata,01.12.21,05.01.22,35,18.201,16.692
d3,Laminaria digitata,01.12.21,18.01.22,48,26.529,24.414
d4,Laminaria digitata,01.12.21,02.02.22,63,26.641,20.912
d5,Laminaria digitata,01.12.21,03.03.22,92,21.365,22.271
d6,Laminaria digitata,01.12.21,19.04.22,139,18.233,21.037
d7,Laminaria digitata,01.12.21,19.06.22,200,18.863,0
d9,Laminaria digitata,01.12.21,19.06.22,200,15.526,1.721
h1,Laminaria hyperborea,01.12.21,13.12.21,12,32.45,30.191
h2,Laminaria hyperborea,01.12.21,05.01.22,35,27.986,25.934
h3,Laminaria hyperborea,01.12.21,18.01.22,48,27.696,30.986
h4,Laminaria hyperborea,01.12.21,02.02.22,63,29.6,30.167
h5,Laminaria hyperborea,01.12.21,03.03.22,92,29.063,28.865
h6,Laminaria hyperborea,01.12.21,19.04.22,139,18.474,15.849
h7,Laminaria hyperborea,01.12.21,19.06.22,200,27.405,21.616
h8,Laminaria hyperborea,01.12.21,19.06.22,200,27.411,20.799
h9,Laminaria hyperborea,01.12.21,19.06.22,200,34.816,29.011
l1,Saccharina latissima,01.12.21,13.12.21,12,21.632,21.059
l2,Saccharina latissima,01.12.21,05.01.22,35,26.211,26.703
l3,Saccharina latissima,01.12.21,18.01.22,48,26.233,26.787
p1,Saccorhiza polyschides,01.12.21,13.12.21,12,19.967,19.948
p2,Saccorhiza polyschides,01.12.21,05.01.22,35,20.51,0.948
p3,Saccorhiza polyschides,01.12.21,18.01.22,48,25.821,0
p4,Saccorhiza polyschides,01.12.21,02.02.22,63,21.354,0
p5,Saccorhiza polyschides,01.12.21,03.03.22,92,22.77,0
p6,Saccorhiza polyschides,01.12.21,19.04.22,139,25.353,0
p7,Saccorhiza polyschides,01.12.21,19.06.22,200,21.182,0
p8,Saccorhiza polyschides,01.12.21,19.06.22,200,23.068,0
p9,Saccorhiza polyschides,01.12.21,19.06.22,200,22.441,0
