Species,Area,Perimeter
Laminaria digitata,0.638,2.943
Laminaria digitata,0.598,2.902
Laminaria digitata,0.579,2.785
Laminaria digitata,0.593,2.841
Laminaria digitata,0.598,2.904
Laminaria digitata,0.593,2.907
Laminaria digitata,0.559,2.733
Laminaria digitata,0.534,2.657
Laminaria digitata,0.531,2.662
Laminaria digitata,0.536,2.657
Laminaria digitata,0.63,2.881
Laminaria digitata,0.6,2.851
Laminaria digitata,0.594,2.798
Laminaria digitata,0.569,2.798
Laminaria digitata,0.572,2.75
Laminaria digitata,0.542,2.67
Laminaria digitata,0.553,2.749
Laminaria digitata,0.554,2.805
Laminaria digitata,0.53,2.634
Laminaria digitata,0.561,2.727
Laminaria hyperborea,0.577,2.738
Laminaria hyperborea,0.543,2.687
Laminaria hyperborea,0.581,2.8
Laminaria hyperborea,0.529,2.629
Laminaria hyperborea,0.548,2.683
Laminaria hyperborea,0.531,2.658
Laminaria hyperborea,0.525,2.632
Laminaria hyperborea,0.527,2.619
Laminaria hyperborea,0.518,2.581
Laminaria hyperborea,0.54,2.64
Laminaria hyperborea,0.558,2.707
Laminaria hyperborea,0.566,2.831
Laminaria hyperborea,0.577,2.75
Laminaria hyperborea,0.547,2.697
Laminaria hyperborea,0.522,2.646
Laminaria hyperborea,0.527,2.712
Laminaria hyperborea,0.553,2.716
Laminaria hyperborea,0.524,2.689
Laminaria hyperborea,0.511,2.584
Laminaria hyperborea,0.503,2.549
Laminaria hyperborea,0.51,2.582
Saccharina latissima,0.581,2.746
Saccharina latissima,0.542,2.663
Saccharina latissima,0.565,2.766
Saccharina latissima,0.541,2.692
Saccharina latissima,0.534,2.776
Saccharina latissima,0.536,2.663
Saccharina latissima,0.549,2.707
Saccharina latissima,0.522,2.613
Saccharina latissima,0.533,2.73
Saccharina latissima,0.54,2.648
Saccharina latissima,0.565,2.711
Saccharina latissima,0.566,2.717
Saccharina latissima,0.553,2.709
Saccharina latissima,0.513,2.649
Saccharina latissima,0.536,2.68
Saccharina latissima,0.541,2.706
Saccharina latissima,0.499,2.576
Saccharina latissima,0.546,2.72
Saccharina latissima,0.506,2.607
Saccharina latissima,0.54,2.683
Saccorhiza polyschides,0.569,2.832
Saccorhiza polyschides,0.533,2.688
Saccorhiza polyschides,0.563,2.941
Saccorhiza polyschides,0.56,3.136
Saccorhiza polyschides,0.522,2.734
Saccorhiza polyschides,0.528,2.718
Saccorhiza polyschides,0.523,2.686
Saccorhiza polyschides,0.496,2.631
Saccorhiza polyschides,0.479,2.539
Saccorhiza polyschides,0.53,2.686
