ID,Species,Date,Mass
dS3,Laminaria digitata,29.10.21,0.0085
hS1,Laminaria hyperborea,29.10.21,0.0131
p3,Saccorhiza polyschides,29.10.21,0.0039
lS1,Saccharina latissima,29.10.21,0.0065
dS1,Laminaria digitata,29.10.21,0.0099
h1,Laminaria hyperborea,29.10.21,0.0097
lS3,Saccharina latissima,29.10.21,0.0065
lS2,Saccharina latissima,29.10.21,0.0046
l3,Saccharina latissima,29.10.21,0.0115
hS2,Laminaria hyperborea,29.10.21,0.0152
dS2,Laminaria digitata,29.10.21,0.0064
l1,Saccharina latissima,29.10.21,0.0064
p2,Saccorhiza polyschides,29.10.21,0.0033
d2,Laminaria digitata,29.10.21,0.0054
pS3,Saccorhiza polyschides,29.10.21,0.0037
pS1,Saccorhiza polyschides,29.10.21,0.0031
p1,Saccorhiza polyschides,29.10.21,0.0035
hS3,Laminaria hyperborea,29.10.21,0.0151
pS2,Saccorhiza polyschides,29.10.21,0.0039
h2,Laminaria hyperborea,29.10.21,0.0089
d3,Laminaria digitata,29.10.21,0.005
d1,Laminaria digitata,29.10.21,0.0066
h3,Laminaria hyperborea,29.10.21,0.0098
l2,Saccharina latissima,29.10.21,0.0103
h3c.1,Laminaria hyperborea,04.11.21,0.0166
d1g.1,Laminaria digitata,04.11.21,0.0059
p1g.1,Saccorhiza polyschides,04.11.21,0.0058
p3c.1,Saccorhiza polyschides,04.11.21,0.0052
p1c.1,Saccorhiza polyschides,04.11.21,0.0065
p2c.1,Saccorhiza polyschides,04.11.21,0.0142
l2c.1,Saccharina latissima,04.11.21,0.0058
d4c.1,Laminaria digitata,04.11.21,0.0064
d3c.1,Laminaria digitata,04.11.21,0.008
l1g.1,Saccharina latissima,04.11.21,0.0077
l3c.1,Saccharina latissima,04.11.21,0.0107
d4g.1,Laminaria digitata,04.11.21,0.0071
l3g.1,Saccharina latissima,04.11.21,0.0041
p3g.1,Saccorhiza polyschides,04.11.21,0.0052
p2g.1,Saccorhiza polyschides,04.11.21,0.0121
l1c.1,Saccharina latissima,04.11.21,0.0086
l2g.1,Saccharina latissima,04.11.21,0.0063
d3g.1,Laminaria digitata,04.11.21,0.0066
h4c.1,Laminaria hyperborea,04.11.21,0.015
d2g.1,Laminaria digitata,04.11.21,0.0078
p4g.1,Saccorhiza polyschides,04.11.21,0.0042
h4g.1,Laminaria hyperborea,04.11.21,0.0152
h1c.1,Laminaria hyperborea,04.11.21,0.0142
h1g.1,Laminaria hyperborea,04.11.21,0.0139
h3g.1,Laminaria hyperborea,04.11.21,0.0145
p4c.1,Saccorhiza polyschides,04.11.21,0.0042
d2c.1,Laminaria digitata,04.11.21,0.0093
d1c.1,Laminaria digitata,04.11.21,0.0065
h2c.1,Laminaria hyperborea,04.11.21,0.0156
l4g.1,Saccharina latissima,04.11.21,0.0067
h2g.1,Laminaria hyperborea,04.11.21,0.0156
l4c.1,Saccharina latissima,04.11.21,0.0069
dL4,Laminaria digitata,11.11.21,0.0057
dS5,Laminaria digitata,11.11.21,0.0058
dL8,Laminaria digitata,11.11.21,0.0058
dL6,Laminaria digitata,11.11.21,0.0063
dL5,Laminaria digitata,11.11.21,0.0056
dL7,Laminaria digitata,11.11.21,0.005
dS6,Laminaria digitata,11.11.21,0.005
hL9,Laminaria hyperborea,11.11.21,0.0098
lS5,Saccharina latissima,11.11.21,0.0083
pL6,Saccorhiza polyschides,11.11.21,0.0031
pS4,Saccorhiza polyschides,11.11.21,0.0024
hL6,Laminaria hyperborea,11.11.21,0.0103
hL3,Laminaria hyperborea,11.11.21,0.0118
dL9,Laminaria digitata,11.11.21,0.0057
hL1,Laminaria hyperborea,11.11.21,0.0103
dS4,Laminaria digitata,11.11.21,0.005
hL4,Laminaria hyperborea,11.11.21,0.0126
hL8,Laminaria hyperborea,11.11.21,0.0092
hS5,Laminaria hyperborea,11.11.21,0.0128
lL1,Saccharina latissima,11.11.21,0.0054
hS6,Laminaria hyperborea,11.11.21,0.0143
pL1,Saccorhiza polyschides,11.11.21,0.0031
lS4,Saccharina latissima,11.11.21,0.0051
hS4,Laminaria hyperborea,11.11.21,0.0149
lL8,Saccharina latissima,11.11.21,0.0037
hL7,Laminaria hyperborea,11.11.21,0.0132
lL4,Saccharina latissima,11.11.21,0.0065
pS6,Saccorhiza polyschides,11.11.21,0.0094
dL2,Laminaria digitata,11.11.21,0.0078
pL3,Saccorhiza polyschides,11.11.21,0.0038
lL7,Saccharina latissima,11.11.21,0.0033
lS6,Saccharina latissima,11.11.21,0.0057
dL1,Laminaria digitata,11.11.21,0.0056
pS17,Saccorhiza polyschides,17.11.21,0.0026
hS13,Laminaria hyperborea,17.11.21,0.0135
lS32,Saccharina latissima,17.11.21,0.0103
hS14,Laminaria hyperborea,17.11.21,0.0165
hS24,Laminaria hyperborea,17.11.21,0.0103
dS13,Laminaria digitata,17.11.21,0.0046
dS33,Laminaria digitata,17.11.21,0.0062
dS14,Laminaria digitata,17.11.21,0.0048
hS7,Laminaria hyperborea,17.11.21,0.0149
lS10,Saccharina latissima,17.11.21,0.0071
lS11,Saccharina latissima,17.11.21,0.0058
hS27,Laminaria hyperborea,17.11.21,0.007
hS25,Laminaria hyperborea,17.11.21,0.012
pS27,Saccorhiza polyschides,17.11.21,0.0044
dS31,Laminaria digitata,17.11.21,0.0108
pS30,Saccorhiza polyschides,17.11.21,0.0029
dS15,Laminaria digitata,17.11.21,0.0069
lS21,Saccharina latissima,17.11.21,0.0055
lS27,Saccharina latissima,17.11.21,0.0105
pS16,Saccorhiza polyschides,17.11.21,0.0028
lS31,Saccharina latissima,17.11.21,0.0068
lS14,Saccharina latissima,17.11.21,0.0049
pS26,Saccorhiza polyschides,17.11.21,0.0029
d,Laminaria digitata,22.11.21,0.0091
d,Laminaria digitata,22.11.21,0.0082
d,Laminaria digitata,22.11.21,0.0076
d,Laminaria digitata,22.11.21,0.0086
d,Laminaria digitata,22.11.21,0.0087
d,Laminaria digitata,22.11.21,0.008
d,Laminaria digitata,22.11.21,0.0089
d,Laminaria digitata,22.11.21,0.0081
d,Laminaria digitata,22.11.21,0.0082
d,Laminaria digitata,22.11.21,0.0088
h,Laminaria hyperborea,22.11.21,0.0165
h,Laminaria hyperborea,22.11.21,0.0134
h,Laminaria hyperborea,22.11.21,0.0183
h,Laminaria hyperborea,22.11.21,0.0165
h,Laminaria hyperborea,22.11.21,0.0175
h,Laminaria hyperborea,22.11.21,0.0181
h,Laminaria hyperborea,22.11.21,0.0178
h,Laminaria hyperborea,22.11.21,0.0167
h,Laminaria hyperborea,22.11.21,0.0183
h,Laminaria hyperborea,22.11.21,0.0158
l,Saccharina latissima,22.11.21,0.005
l,Saccharina latissima,22.11.21,0.0052
l,Saccharina latissima,22.11.21,0.0072
l,Saccharina latissima,22.11.21,0.006
l,Saccharina latissima,22.11.21,0.007
l,Saccharina latissima,22.11.21,0.0058
l,Saccharina latissima,22.11.21,0.0049
l,Saccharina latissima,22.11.21,0.0062
l,Saccharina latissima,22.11.21,0.0048
l,Saccharina latissima,22.11.21,0.005
p,Saccorhiza polyschides,22.11.21,0.0046
p,Saccorhiza polyschides,22.11.21,0.0049
p,Saccorhiza polyschides,22.11.21,0.0048
p,Saccorhiza polyschides,22.11.21,0.005
p,Saccorhiza polyschides,22.11.21,0.005
p,Saccorhiza polyschides,22.11.21,0.0051
