Plate,Annotation
031121enzyme1,MQ
031121enzyme1,MQ
031121enzyme1,MQ
031121enzyme1,AS
031121enzyme1,AS
031121enzyme1,AS
031121enzyme1,0
031121enzyme1,0
031121enzyme1,0
031121enzyme1,0.1
031121enzyme1,0.1
031121enzyme1,0.1
031121enzyme1,0.25
031121enzyme1,0.25
031121enzyme1,0.25
031121enzyme1,0.5
031121enzyme1,0.5
031121enzyme1,0.5
031121enzyme1,0.75
031121enzyme1,0.75
031121enzyme1,0.75
031121enzyme1,1
031121enzyme1,1
031121enzyme1,1
031121enzyme1,2
031121enzyme1,2
031121enzyme1,2
031121enzyme1,5
031121enzyme1,5
031121enzyme1,5
031121enzyme1,10
031121enzyme1,10
031121enzyme1,10
031121enzyme1,20
031121enzyme1,20
031121enzyme1,20
031121enzyme1,50
031121enzyme1,50
031121enzyme1,50
031121enzyme1,100
031121enzyme1,100
031121enzyme1,100
031121enzyme1,d1g
031121enzyme1,d1g
031121enzyme1,d1g
031121enzyme1,d2g
031121enzyme1,d2g
031121enzyme1,d2g
031121enzyme1,d3g
031121enzyme1,d3g
031121enzyme1,d3g
031121enzyme1,d4g
031121enzyme1,d4g
031121enzyme1,d4g
031121enzyme1,d1g
031121enzyme1,d1g
031121enzyme1,d2g
031121enzyme1,d2g
031121enzyme1,d3g
031121enzyme1,d3g
031121enzyme1,d4g
031121enzyme1,d4g
031121enzyme1,d1c
031121enzyme1,d1c
031121enzyme1,d1c
031121enzyme1,d1c
031121enzyme1,d1c
031121enzyme1,d2c
031121enzyme1,d2c
031121enzyme1,d2c
031121enzyme1,d2c
031121enzyme1,d2c
031121enzyme1,d3c
031121enzyme1,d3c
031121enzyme1,d3c
031121enzyme1,d3c
031121enzyme1,d3c
031121enzyme1,d4c
031121enzyme1,d4c
031121enzyme1,d4c
031121enzyme1,d4c
031121enzyme1,d4c
031121enzyme1,CMQ
031121enzyme1,CMQ
031121enzyme1,CMQ
031121enzyme1,CAS
031121enzyme1,CAS
031121enzyme1,CAS
031121enzyme3,MQ
031121enzyme3,MQ
031121enzyme3,MQ
031121enzyme3,AS
031121enzyme3,AS
