User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 385,,
Test Name: LUKA,,
Date: 03/11/2021,,
Time: 13:50:43,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,9538
A02,Sample X2,6692
A03,Sample X3,6823
A04,Sample X4,7055
A05,Sample X5,7461
A06,Sample X6,108040
A07,Sample X7,149265
A08,Sample X8,48554
A09,Sample X9,9736
A10,Sample X10,6739
A11,Sample X11,9078
A12,Sample X12,12920
B01,Sample X13,8620
B02,Sample X14,7398
B03,Sample X15,6925
B04,Sample X16,7063
B05,Sample X17,7779
B06,Sample X18,88918
B07,Sample X19,7780
B08,Sample X20,8001
B09,Sample X21,34561
B10,Sample X22,7381
B11,Sample X23,6952
B12,Sample X24,78103
C01,Sample X25,64230
C02,Sample X26,7163
C03,Sample X27,7713
C04,Sample X28,7454
C05,Sample X29,6803
C06,Sample X30,7270
C07,Sample X31,9857
C08,Sample X32,7296
C09,Sample X33,7173
C10,Sample X34,7418
C11,Sample X35,8449
C12,Sample X36,12433
D01,Sample X37,12985
D02,Sample X38,7282
D03,Sample X39,6844
D04,Sample X40,8103
D05,Sample X41,16905
D06,Sample X42,7619
D07,Sample X43,7595
D08,Sample X44,7018
D09,Sample X45,6904
D10,Sample X46,7258
D11,Sample X47,104987
D12,Sample X48,7609
E01,Sample X49,46441
E02,Sample X50,34447
E03,Sample X51,31524
E04,Sample X52,33816
E05,Sample X53,118818
E06,Sample X54,32305
E07,Sample X55,45497
E08,Sample X56,138079
E09,Sample X57,34622
E10,Sample X58,205650
E11,Sample X59,36299
E12,Sample X60,36351
F01,Sample X61,37668
F02,Sample X62,30696
F03,Sample X63,31520
F04,Sample X64,85311
F05,Sample X65,31029
F06,Sample X66,30741
F07,Sample X67,40247
F08,Sample X68,74906
F09,Sample X69,93606
F10,Sample X70,71011
F11,Sample X71,67546
F12,Sample X72,239992
G01,Sample X73,96936
G02,Sample X74,97030
G03,Sample X75,91223
G04,Sample X76,96493
G05,Sample X77,85094
G06,Sample X78,115562
G07,Sample X79,99380
G08,Sample X80,140296
G09,Sample X81,107985
G10,Sample X82,112754
G11,Sample X83,132984
G12,Sample X84,126006
H01,Sample X85,138914
H02,Sample X86,130321
H03,Sample X87,124162
H04,Sample X88,207478
H05,Sample X89,192317
H06,Sample X90,186989
H07,Sample X91,194817
H08,Sample X92,189397
H09,Sample X93,260000
H10,Sample X94,237156
H11,Sample X95,243790
H12,Sample X96,236605
