User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 382,,
Test Name: LUKA,,
Date: 03/11/2021,,
Time: 13:03:49,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,1073
A02,Sample X2,1510
A03,Sample X3,279
A04,Sample X4,316
A05,Sample X5,319
A06,Sample X6,1585
A07,Sample X7,4756
A08,Sample X8,5404
A09,Sample X9,4938
A10,Sample X10,6693
A11,Sample X11,6837
A12,Sample X12,6084
B01,Sample X13,7869
B02,Sample X14,7919
B03,Sample X15,8167
B04,Sample X16,9031
B05,Sample X17,9039
B06,Sample X18,9361
B07,Sample X19,14796
B08,Sample X20,14438
B09,Sample X21,14604
B10,Sample X22,19389
B11,Sample X23,18248
B12,Sample X24,18155
C01,Sample X25,36503
C02,Sample X26,36816
C03,Sample X27,37089
C04,Sample X28,77508
C05,Sample X29,78049
C06,Sample X30,77394
C07,Sample X31,133790
C08,Sample X32,134835
C09,Sample X33,138690
C10,Sample X34,226696
C11,Sample X35,234073
C12,Sample X36,235310
D01,Sample X37,260000
D02,Sample X38,260000
D03,Sample X39,260000
D04,Sample X40,260000
D05,Sample X41,260000
D06,Sample X42,260000
D07,Sample X43,38175
D08,Sample X44,28337
D09,Sample X45,25573
D10,Sample X46,31131
D11,Sample X47,26905
D12,Sample X48,40051
E01,Sample X49,40005
E02,Sample X50,39643
E03,Sample X51,38490
E04,Sample X52,39786
E05,Sample X53,22959
E06,Sample X54,22469
E07,Sample X55,22065
E08,Sample X56,22002
E09,Sample X57,22772
E10,Sample X58,18143
E11,Sample X59,19074
E12,Sample X60,19057
F01,Sample X61,17678
F02,Sample X62,17391
F03,Sample X63,148117
F04,Sample X64,145165
F05,Sample X65,142323
F06,Sample X66,140979
F07,Sample X67,144727
F08,Sample X68,20075
F09,Sample X69,18538
F10,Sample X70,18535
F11,Sample X71,17511
F12,Sample X72,18182
G01,Sample X73,31670
G02,Sample X74,31631
G03,Sample X75,30697
G04,Sample X76,32044
G05,Sample X77,30543
G06,Sample X78,15373
G07,Sample X79,15552
G08,Sample X80,15705
G09,Sample X81,15855
G10,Sample X82,15862
G11,Sample X83,3213
G12,Sample X84,1723
H01,Sample X85,1537
H02,Sample X86,2082
H03,Sample X87,1676
H04,Sample X88,1703
