User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 421,,
Test Name: LUKA,,
Date: 19/11/2021,,
Time: 11:21:49,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
D01,Sample X1,202909
D02,Sample X2,180907
D03,Sample X3,192737
D04,Sample X4,191088
D05,Sample X5,208187
D06,Sample X6,215307
D07,Sample X7,236116
D08,Sample X8,210998
D09,Sample X9,185048
D10,Sample X10,178610
D11,Sample X11,201136
D12,Sample X12,186639
E01,Sample X13,188802
E02,Sample X14,182315
E03,Sample X15,180625
E04,Sample X16,172969
E05,Sample X17,180842
E06,Sample X18,207472
E07,Sample X19,245828
E08,Sample X20,210446
E09,Sample X21,194630
E10,Sample X22,183019
E11,Sample X23,187043
E12,Sample X24,178751
F01,Sample X25,178461
F02,Sample X26,172341
F03,Sample X27,175763
F04,Sample X28,188043
F05,Sample X29,197558
F06,Sample X30,209488
F07,Sample X31,236819
F08,Sample X32,189458
F09,Sample X33,175308
F10,Sample X34,166724
F11,Sample X35,188782
F12,Sample X36,169975
G01,Sample X37,185777
G02,Sample X38,198675
G03,Sample X39,185504
G04,Sample X40,186740
G05,Sample X41,194875
G06,Sample X42,216525
G07,Sample X43,249765
G08,Sample X44,202458
G09,Sample X45,183514
G10,Sample X46,178833
G11,Sample X47,179162
G12,Sample X48,174388
H01,Sample X49,210008
H02,Sample X50,188894
H03,Sample X51,183826
H04,Sample X52,202422
H05,Sample X53,201328
H06,Sample X54,191881
H07,Sample X55,205021
H08,Sample X56,215052
H09,Sample X57,181753
H10,Sample X58,260000
H11,Sample X59,185278
H12,Sample X60,174860
