User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 372,,
Test Name: LUKA,,
Date: 28/10/2021,,
Time: 13:38:46,,
ID1: selected gain adjustment,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,3924
A02,Sample X2,5081
A03,Sample X3,6228
A04,Sample X4,4474
A05,Sample X5,4017
A06,Sample X6,3905
A07,Sample X7,5056
A08,Sample X8,5785
A09,Sample X9,5368
A10,Sample X10,6925
A11,Sample X11,7434
A12,Sample X12,7617
B01,Sample X13,9045
B02,Sample X14,9453
B03,Sample X15,9519
B04,Sample X16,11305
B05,Sample X17,12558
B06,Sample X18,11823
B07,Sample X19,24688
B08,Sample X20,25514
B09,Sample X21,25888
B10,Sample X22,42153
B11,Sample X23,42724
B12,Sample X24,42864
C01,Sample X25,74244
C02,Sample X26,76560
C03,Sample X27,76793
C04,Sample X28,232278
C05,Sample X29,232854
C06,Sample X30,233624
C07,Sample X31,260000
C08,Sample X32,260000
C09,Sample X33,260000
C10,Sample X34,260000
C11,Sample X35,260000
C12,Sample X36,260000
D01,Sample X37,71241
D02,Sample X38,62487
D03,Sample X39,61417
D04,Sample X40,69888
D05,Sample X41,72706
D06,Sample X42,9156
D07,Sample X43,10689
D08,Sample X44,10739
D09,Sample X45,10048
D10,Sample X46,10973
D11,Sample X47,59055
D12,Sample X48,67536
E01,Sample X49,84899
E02,Sample X50,79776
E03,Sample X51,84549
E04,Sample X52,10994
E05,Sample X53,11041
E06,Sample X54,11127
E07,Sample X55,11229
E08,Sample X56,10830
E09,Sample X57,4457
E10,Sample X58,4539
E11,Sample X59,4692
E12,Sample X60,4766
F01,Sample X61,4847
F02,Sample X62,1784
F03,Sample X63,1891
F04,Sample X64,1807
F05,Sample X65,2092
F06,Sample X66,1958
F07,Sample X67,43769
F08,Sample X68,3655
F09,Sample X69,794
F10,Sample X70,570
F11,Sample X71,988
F12,Sample X72,507
